Station,Silver,Orange,Blue,Red,Yellow,Green
East Falls Church,1,1,,,,
Rosslyn,1,1,1,,,
Pentagon,,,1,,1,
King St-Old Town,,,1,,1,
Metro Center,1,1,1,1,,
Gallery Place-Chinatown,,,,1,1,1
L'Enfant Plaza,1,1,1,,1,1
Fort Totten,,,,1,1,1
Stadium-Armory,1,1,1,,,
