Number Rider SUM,Ent Date Holiday,Ent Date Service Type,Ent Time Period,Ent Station,Ext Station,AvgRidership,Year Month,Travel Minutes SUM,AvgTravelMinutes
34,No,Saturday,AM Peak,Greenbelt,Union Station,8.5,201410,1601,47.08823529
24,No,Saturday,AM Peak,Pentagon,Fort Totten,6,201410,883,36.79166667
16,No,Saturday,AM Peak,Reagan Washington National Airport,Vienna,4,201410,917,57.3125
6,No,Saturday,AM Peak,Capitol Heights,Vienna,1.5,201410,415,69.16666667
16,No,Saturday,AM Peak,Pentagon,Vienna,5,201410,917,57.3125
